,0
1251,SlogP_VSA6
1252,fMF
1253,MATS1se
1254,AATS4se
1255,Xch-7d
1256,BIC4
1257,GATS7se
1258,MATS8s
1259,MATS7v
1260,GATS8i
1261,NaasC
1262,GATS5v
1263,BCUTs-1l
1264,TopoPSA(NO)_sum_ATSC4p
1265,piPC8_sum_GATS7dv
1266,ETA_psi_1
1267,ZMIC4
1268,ATSC2dv
1269,ATSC6i_diff_TopoPSA
1270,ATSC8v
1271,AATSC2are
1272,ATSC1Z
1273,MATS1p
1274,ATSC1v
1275,Mi
1276,AATSC7m
1277,BalabanJ
1278,JGI7_multiply_ATSC0c
1279,MPC2
1280,GGI10
1281,EState_VSA10_sum_MATS4c
1282,GATS7Z
1283,GATS5Z
1284,AATSC6Z
1285,ATSC8dv
1286,AATSC8d
1287,GATS7i
1288,FilterItLogS
1289,AATSC3se
1290,AATSC2dv
1291,MATS2pe
1292,AATSC6s_diff_piPC8
1293,Xp-2dv
1294,ATSC7d
1295,LogEE_Dzse_ratio_nFRing
1296,SpAD_Dzp
1297,VSA_EState6
1298,SpAbs_Dzpe_ratio_nFRing
1299,MATS6c
1300,AATSC6p
1301,EState_VSA10_sum_MATS7d
1302,AMID_X
1303,AATSC7d
1304,ATSC1se
1305,GATS3dv
1306,AATSC1Z
1307,SsssN
1308,GATS2se
1309,Mp
1310,GATS2dv
1311,GATS5i
1312,TopoPSA(NO)_sum_AATSC8m
1313,GATS2s
1314,SaasC
1315,Xp-6dv
1316,ATSC6se
1317,GATS1p
1318,ATSC3pe
1319,AATSC0s
1320,AATSC5i
1321,ATSC6s
1322,AETA_alpha
1323,GATS7s
1324,GATS5m
1325,GATS4s
1326,AXp-7dv
1327,MIC5
1328,GATS2c
1329,ATSC8s
1330,AATSC1dv
1331,ATSC1dv
1332,AXp-0d
1333,ATS6Z_ratio_nG12FRing
1334,GATS6c
1335,random_feature
1336,MATS3dv
1337,ATSC3dv
1338,n7HRing
